Designator,Val,Package,MidX,MidY,Rotation,Layer
R10,110k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,136.017,-119.38,0,top
R11,90.9k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.002,-119.634,-90,top
R12,162k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,132.207,-124.079,0,top
R13,118k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.096,-127.254,0,top
R14,63.4k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130.937,-130.048,-90,top
R15,62k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,131.826,-133.35,180,top
R17,68k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,142.24,-138.557,0,top
R18,66.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,145.923,-138.557,0,top
R19,332k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,151.13,-130.81,90,top
R21,45.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,175.387,-121.412,180,top
R22,270k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.372,-119.634,-90,top
R23,143k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,175.006,-125.73,180,top
R24,19.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,171.45,-133.35,180,top
R26,140k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,181.61,-138.557,0,top
R27,18.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,185.293,-138.557,0,top
R28,576k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,190.5,-130.81,90,top
R29,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,214.884,-119.38,0,top
R30,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,221.742,-119.634,-90,top
R31,66.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,210.947,-124.079,0,top
R32,33.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,211.836,-127.254,0,top
R33,56k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,209.677,-130.048,-90,top
R34,48.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,210.566,-133.35,180,top
R35,270k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,218.694,-135.255,90,top
R36,66.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,220.98,-138.557,0,top
R37,57.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,224.663,-138.557,0,top
R38,324k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,229.87,-130.81,90,top
R39,78.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,254.127,-119.38,0,top
R40,26.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,254.127,-121.412,180,top
R41,160k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,261.112,-119.634,-90,top
R42,59k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,251.46,-127,180,top
R43,7.87k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,249.936,-133.35,180,top
R44,243k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,257.937,-135.255,90,top
R45,107k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,260.35,-138.557,0,top
R46,14.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,264.033,-138.557,0,top
R48,78.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,293.497,-119.38,0,top
R49,7.32k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,293.497,-121.412,180,top
R50,160k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,300.482,-119.634,-90,top
R51,66.5k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,291.084,-125.73,180,top
R52,2.87k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,289.306,-133.35,180,top
R53,270k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,297.307,-135.255,90,top
R54,95.3k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,299.72,-138.557,0,top
R56,383k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,308.61,-130.81,90,top
R57,11.5k,R_0805_2012Metric,332.867,-119.38,0,top
R58,48.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,332.867,-121.412,180,top
R59,22.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,339.852,-119.634,-90,top
R60,8.06k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,330.454,-125.73,180,top
R62,37.4k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,336.677,-134.874,90,top
R63,19.6k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,339.09,-138.557,0,top
R65,90.9k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,347.98,-130.81,90,top
R66,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.14,-88.9,-90,top
R67,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.51,-88.9,-90,top
R68,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.88,-88.9,-90,top
R69,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,222.25,-88.9,-90,top
R70,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,261.62,-88.9,-90,top
R71,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,300.99,-88.9,-90,top
R72,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,340.36,-88.9,-90,top
R73,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,321.31,-166.37,0,top
R75,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,104.14,-74.93,90,top
R76,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,143.51,-74.93,90,top
R77,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,182.88,-74.93,90,top
R78,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,222.25,-74.93,90,top
R79,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,261.62,-74.93,90,top
R80,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,300.99,-74.93,90,top
R81,680,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,340.36,-74.93,90,top
R82,620,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,337.058,-163.322,0,top
