Ref,Val,Package,PosX,PosY,Rot,Side
"C65","0.1uF","C_0805_2012Metric",189.484000,-125.476000,90.000000,top
"C66","0.1uF","C_0805_2012Metric",217.424000,-128.270000,0.000000,top
"C67","0.1uF","C_0805_2012Metric",228.854000,-125.476000,90.000000,top
"C68","0.1uF","C_0805_2012Metric",256.794000,-128.270000,0.000000,top
"C69","0.1uF","C_0805_2012Metric",268.224000,-125.476000,90.000000,top
"C70","0.1uF","C_0805_2012Metric",296.164000,-128.270000,0.000000,top
"C71","0.1uF","C_0805_2012Metric",307.594000,-125.476000,90.000000,top
"C72","0.1uF","C_0805_2012Metric",335.534000,-128.270000,0.000000,top
"C73","0.1uF","C_0805_2012Metric",346.964000,-125.476000,90.000000,top
"D1","LED","LED_D5.0mm",83.820000,-139.700000,180.000000,top
"D2","LED","LED_D5.0mm",83.820000,-129.540000,180.000000,top
"D3","LED","LED_D5.0mm",83.820000,-119.380000,180.000000,top
"D4","LED","LED_D5.0mm",83.820000,-109.220000,180.000000,top
"D5","LED","LED_D5.0mm",83.820000,-99.060000,180.000000,top
"D6","LED","LED_D5.0mm",83.820000,-88.900000,180.000000,top
"D7","LED","LED_D5.0mm",83.820000,-78.740000,180.000000,top
"D8","LED","LED_D5.0mm",83.820000,-68.580000,180.000000,top
"D9","LED","LED_D5.0mm",83.820000,-58.420000,180.000000,top
"D10","LED","LED_D5.0mm",83.820000,-48.260000,180.000000,top
"D11","LED","LED_D5.0mm",123.190000,-139.700000,180.000000,top
"D12","LED","LED_D5.0mm",123.190000,-129.540000,180.000000,top
"D13","LED","LED_D5.0mm",123.190000,-119.380000,180.000000,top
"D14","LED","LED_D5.0mm",123.190000,-109.220000,180.000000,top
"D15","LED","LED_D5.0mm",123.190000,-99.060000,180.000000,top
"D16","LED","LED_D5.0mm",123.190000,-88.900000,180.000000,top
"D17","LED","LED_D5.0mm",123.190000,-78.740000,180.000000,top
"D18","LED","LED_D5.0mm",123.190000,-68.580000,180.000000,top
"D19","LED","LED_D5.0mm",123.190000,-58.420000,180.000000,top
"D20","LED","LED_D5.0mm",123.190000,-48.260000,180.000000,top
"D21","LED","LED_D5.0mm",162.560000,-139.700000,180.000000,top
"D22","LED","LED_D5.0mm",162.560000,-129.540000,180.000000,top
"D23","LED","LED_D5.0mm",162.560000,-119.380000,180.000000,top
"D24","LED","LED_D5.0mm",162.560000,-109.220000,180.000000,top
"D25","LED","LED_D5.0mm",162.560000,-99.060000,180.000000,top
"D26","LED","LED_D5.0mm",162.560000,-88.900000,180.000000,top
"D27","LED","LED_D5.0mm",162.560000,-78.740000,180.000000,top
"D28","LED","LED_D5.0mm",162.560000,-68.580000,180.000000,top
"D29","LED","LED_D5.0mm",162.560000,-58.420000,180.000000,top
"D30","LED","LED_D5.0mm",162.560000,-48.260000,180.000000,top
"D31","LED","LED_D5.0mm",201.930000,-139.700000,180.000000,top
"D32","LED","LED_D5.0mm",201.930000,-129.540000,180.000000,top
"D33","LED","LED_D5.0mm",201.930000,-119.380000,180.000000,top
"D34","LED","LED_D5.0mm",201.930000,-109.220000,180.000000,top
"D35","LED","LED_D5.0mm",201.930000,-99.060000,180.000000,top
"D36","LED","LED_D5.0mm",201.930000,-88.900000,180.000000,top
"D37","LED","LED_D5.0mm",201.930000,-78.740000,180.000000,top
"D38","LED","LED_D5.0mm",201.930000,-68.580000,180.000000,top
"D39","LED","LED_D5.0mm",201.930000,-58.420000,180.000000,top
"D40","LED","LED_D5.0mm",201.930000,-48.260000,180.000000,top
"D41","LED","LED_D5.0mm",241.300000,-139.700000,180.000000,top
"D42","LED","LED_D5.0mm",241.300000,-129.540000,180.000000,top
"D43","LED","LED_D5.0mm",241.300000,-119.380000,180.000000,top
"D44","LED","LED_D5.0mm",241.300000,-109.220000,180.000000,top
"D45","LED","LED_D5.0mm",241.300000,-99.060000,180.000000,top
"D46","LED","LED_D5.0mm",241.300000,-88.900000,180.000000,top
"D47","LED","LED_D5.0mm",241.300000,-78.740000,180.000000,top
"D48","LED","LED_D5.0mm",241.300000,-68.580000,180.000000,top
"D49","LED","LED_D5.0mm",241.300000,-58.420000,180.000000,top
"D50","LED","LED_D5.0mm",241.300000,-48.260000,180.000000,top
"D51","LED","LED_D5.0mm",280.670000,-139.700000,180.000000,top
"D52","LED","LED_D5.0mm",280.670000,-129.540000,180.000000,top
"D53","LED","LED_D5.0mm",280.670000,-119.380000,180.000000,top
"D54","LED","LED_D5.0mm",280.670000,-109.220000,180.000000,top
"D55","LED","LED_D5.0mm",280.670000,-99.060000,180.000000,top
"D56","LED","LED_D5.0mm",280.670000,-88.900000,180.000000,top
"D57","LED","LED_D5.0mm",280.670000,-78.740000,180.000000,top
